Machine Break : Load at Machine Break,40340,N
,,
Time,Extension,Load
(sec),(mm),(N)
32.85,5.4713,44764.51874
32.95,5.4881,44858.4795
33.05,5.5047,44939.02028
33.15,5.5214,45019.54913
33.25,5.5381,45100.08991
33.35,5.5547,45194.05067
33.45,5.5714,45274.57952
33.55,5.588,45341.70032
33.65,5.6048,45435.66108
33.75,5.6214,45516.18993
33.85,5.638,45596.73071
33.95,5.6548,45677.25956
34.05,5.6714,45757.80034
34.15,5.688,45824.90921
34.25,5.7048,45918.86997
34.35,5.7214,45999.41075
34.45,5.7381,46066.51962
34.75,5.7881,46294.7011
34.85,5.8047,46375.2389
34.95,5.8213,46455.77967
35.05,5.8381,46536.30853
35.15,5.8547,46603.42932
35.25,5.8714,46683.96115
35.35,5.8881,46751.07002
35.45,5.9047,46831.6108
35.55,5.9214,46898.71967
35.65,5.9381,46979.26044
35.75,5.9547,47046.36931
35.85,5.9714,47113.4901
35.95,5.988,47194.01896
36.05,6.0048,47261.13975
36.15,6.0214,47328.24862
36.25,6.038,47408.78046
36.35,6.0548,47475.90125
36.45,6.0714,47569.85903
36.55,6.0881,47623.55089
36.65,6.1047,47704.07975
36.75,6.1214,47757.76863
36.85,6.1381,47838.30941
36.95,6.1547,47918.84124
37.05,6.1714,47972.53907
37.15,6.1881,48053.0709
37.25,6.2047,48133.6087
37.35,6.2215,48187.30056
37.45,6.2381,48240.98945
37.55,6.2547,48321.52128
37.65,6.2714,48375.21017
37.75,6.2881,48455.75094
37.85,6.3047,48509.43983
37.95,6.3214,48589.9806
38.05,6.338,48643.66949
38.15,6.3548,48724.20132
38.25,6.3714,48777.89021
38.35,6.388,48831.57909
38.45,6.4048,48885.27989
38.55,6.4214,48965.80875
38.65,6.4381,49019.50061
38.75,6.4548,49073.1895
38.85,6.4714,49153.73027
38.95,6.4881,49207.41916
39.05,6.5047,49261.11102
39.15,6.5214,49341.64882
39.25,6.5381,49395.34068
39.35,6.5547,49449.02956
