Machine Break : Load at Machine Break,5992,N
,,
Time,Extension,Load
(sec),(mm),(N)
41.05,6.8361,16327.30067
41.15,6.8527,16311.19996
41.25,6.8693,16300.4607
41.35,6.8861,16284.34956
41.45,6.9027,16273.61029
41.55,6.9194,16268.23992
41.65,6.9361,16257.50959
41.75,6.9527,16246.77032
41.85,6.9694,16187.70957
41.95,6.9861,16198.45033
42.05,7.0028,16198.45033
42.15,7.0194,16230.66068
42.25,7.036,16268.23992
42.35,7.0528,16311.19996
42.45,7.0694,16348.78069
42.55,7.086,16380.98955
42.65,7.1028,16413.21033
42.75,7.1194,16434.67993
42.85,7.1361,16456.15995
42.95,7.1527,16477.63997
43.05,7.1694,16488.3703
43.15,7.1861,16493.74068
43.25,7.2027,16499.10957
43.35,7.2194,16504.47994
43.45,7.2361,16515.2207
43.55,7.2527,16520.58959
43.65,7.2695,16531.33035
43.75,7.2861,16542.06961
43.85,7.3027,16547.42956
43.95,7.3194,16558.17032
44.05,7.3361,16563.5407
44.15,7.3528,16563.5407
44.25,7.3694,16574.27996
44.35,7.386,16574.27996
44.45,7.4028,16574.27996
44.55,7.4194,16493.74068
44.65,7.436,16644.07998
44.75,7.4528,16595.75999
44.85,7.4694,16568.90959
44.95,7.4861,16558.17032
45.05,7.5028,16563.5407
45.15,7.5194,16552.79994
45.25,7.5361,16493.74068
45.35,7.5527,16504.47994
45.45,7.5694,16493.74068
45.55,7.5861,16515.2207
45.65,7.6027,16542.06961
45.75,7.6195,16574.27996
45.85,7.6361,16595.75999
45.95,7.6527,16622.59996
46.05,7.6695,16644.07998
46.15,7.6861,16660.18069
46.25,7.7028,16676.29033
46.35,7.7194,16687.0296
46.45,7.7361,16697.77036
46.55,7.7528,16687.0296
46.65,7.7694,16703.14074
46.75,7.786,16896.42072
46.85,7.8028,16778.3007
46.95,7.8194,16740.71997
47.05,7.8361,16746.09035
47.15,7.8528,16756.82962
47.25,7.8693,16762.2
47.35,7.886,16772.93032
47.45,7.9028,16767.57038
47.75,7.9527,16778.3007
47.85,7.9695,16778.3007
47.95,7.986,16783.66959
48.05,8.0027,16789.03997
48.15,8.0195,16783.66959
48.25,8.036,16789.03997
48.35,8.0527,16789.03997
48.45,8.0694,16783.66959
